latitude,longitude
40.4529615,-3.6990373
40.4513674,-3.695223
40.4535105,-3.6979177
40.4554101,-3.7004686
40.4509052,-3.6934284
40.4591353,-3.6981167
40.4514343,-3.6969147
40.4522087,-3.6925313
40.4567834,-3.6982891
40.4576741,-3.6980697
40.4560229,-3.6936066
40.4513865,-3.7002143
40.4560995,-3.6999623
40.4564219,-3.6980062
40.449986,-3.6954183
40.4569822,-3.6969694
40.45867,-3.697132
40.4548529,-3.6974894
40.4462893,-3.7000957
40.445587,-3.701225
40.4434997,-3.698626
40.4497754,-3.6971514
40.4424851,-3.6947161
40.447887,-3.699525
40.4407704,-3.7014101
40.4474429,-3.6972268
40.4476646,-3.6987557
40.4428974,-3.6961318
40.4471014,-3.7006617
40.4477685,-3.6987417
40.448699,-3.6991355
40.4418243,-3.6964376
40.4451575,-3.6990245
40.4448493,-3.7018251
40.4436129,-3.7032326
40.444952,-3.6964589
40.4409375,-3.6976386
40.4471602,-3.695146
40.4315428,-3.6963686
40.4383773,-3.6962245
40.4396482,-3.6981743
40.4389729,-3.6978679
40.4321294,-3.6980635
40.4358916,-3.7050418
40.4396476,-3.6971451
40.4332767,-3.7029327
40.4332391,-3.6932397
40.4369469,-3.6939842
40.4407704,-3.7014101
40.4381882,-3.702788
40.4383386,-3.6981473
40.4379129,-3.6961349
40.4385171,-3.6960974
40.4329648,-3.6954456
40.4367184,-3.6923171
40.4363124,-3.6970136
40.4327598,-3.6941476
40.4372732,-3.7017188
40.4281916,-3.7002198
40.4222232,-3.6995858
40.4234113,-3.7001452
40.4260603,-3.7016206
40.4270028,-3.6940813
40.4275716,-3.6944782
40.4249176,-3.6941403
40.4239288,-3.698415
40.4315428,-3.6963686
40.428785,-3.6944193
40.4253315,-3.6950476
40.4275963,-3.7033839
40.4265552,-3.694168
40.429529,-3.7031684
40.4245006,-3.693932
40.42725,-3.7009083
40.4321294,-3.6980635
40.4228316,-3.6986209
40.4255594,-3.695551
40.4294528,-3.7033149
40.4149124,-3.7014127
40.4222232,-3.6995858
40.4186085,-3.7036609
40.4191292,-3.6961293
40.4200804,-3.6979561
40.4152207,-3.6935631
40.4200451,-3.7032716
40.416867,-3.6991907
40.4161522,-3.703874
40.420356,-3.7032834
40.4219883,-3.6950779
40.4215737,-3.7035173
40.4228316,-3.6986209
40.4174982,-3.6972359
40.4224635,-3.700928
40.4169672,-3.7006775
40.4185914,-3.7007193
40.4214912,-3.6999548
40.4206986,-3.7033323
40.4209841,-3.6996543
40.4127017,-3.6936889
40.4132127,-3.7005005
40.4064684,-3.6984521
40.4075656,-3.703892
40.4064404,-3.7024263
40.41175,-3.7008937
40.4067432,-3.6992566
40.4074799,-3.700564
40.409954,-3.7028165
40.4117311,-3.7017644
40.4122736,-3.7029452
40.4079124,-3.7006041
40.4116577,-3.700438
40.4085571,-3.7025875
40.4085404,-3.7029182
40.4104145,-3.7006622
40.4082736,-3.7005428
40.4135246,-3.6982522
40.4119652,-3.701246
40.4058543,-3.7015334
40.3971986,-3.7007215
40.396568,-3.6974078
40.4038519,-3.6996998
40.4008759,-3.692744
40.3980263,-3.7003396
40.3966485,-3.6966183
40.3995463,-3.7016515
40.4003414,-3.7010371
40.4054082,-3.6982024
40.403567,-3.695386
40.3971274,-3.6963585
40.3983526,-3.7004227
40.4045289,-3.6963003
40.3983526,-3.7004227
40.4014688,-3.6927797
40.4007232,-3.6922417
40.4012198,-3.7042467
40.3979212,-3.6979908
40.4018864,-3.7042903
40.4032328,-3.697986
40.3943562,-3.6971769
40.3932833,-3.6969784
40.3935949,-3.6940719
40.3886938,-3.6940097
40.3916259,-3.6941845
40.3951526,-3.7009982
40.3918257,-3.6944126
40.3948267,-3.6994152
40.3953579,-3.6982355
40.3883883,-3.6943697
40.3940104,-3.6956311
40.3910753,-3.7027562
40.3911971,-3.7009435
40.3940068,-3.7002723
40.3924905,-3.6924159
40.3888209,-3.7009567
40.3937464,-3.6940241
40.3926024,-3.6954242
40.3925763,-3.6940911
40.3921429,-3.7029086
